Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Characteristics[latitude]	Unit	Term Source REF	Term Accession Number	Characteristics[longitude]	Unit	Term Source REF	Term Accession Number	Characteristics[altitude]	Unit	Term Source REF	Term Accession Number	Protocol REF	Comment[accession ID]	Sample Name	Factor Value[seed collection location]	Factor Value[strain origin]
Arabidopsis seeds from Kashimir, India	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	India	GAZ	GAZ:00002839	35	degree	UO	UO:0000185	77	degree	UO	UO:0000185	2324	meter	UO	UO:0000008	Plant material and sample preparation	CS79018	Kas-1	Kashimir, India	wild type
Arabidopsis seeds from Lovel, Denmark	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Kingdom of Denmark	GAZ	GAZ:00002635	56.57	degree	UO	UO:0000185	9.48	degree	UO	UO:0000185	3	meter	UO	UO:0000008	Plant material and sample preparation	CS28922	Lovel-1	LÃžvel, Denmark	wild type
Arabidopsis seeds from Oystese, Norway	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Kingdom of Norway	GAZ	GAZ:00002699	60.39	degree	UO	UO:0000185	6.19	degree	UO	UO:0000185	31	meter	UO	UO:0000008	Plant material and sample preparation	CS76203	Oy-0	Oystese, Norway	wild type
Arabidopsis seeds from Blanes Gerona, Spain	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Kingdom of Spain	GAZ	GAZ:00000591	41.69	degree	UO	UO:0000185	2.8	degree	UO	UO:0000185	95.5	meter	UO	UO:0000008	Plant material and sample preparation	CS28086	Bla-11	Blanes/Gerona, Spain	wild type
Arabidopsis seeds from Antwerpen, Netherlands	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Kingdom of the Netherlands	GAZ	GAZ:00001549	51.58	degree	UO	UO:0000185	4.35	degree	UO	UO:0000185	9	meter	UO	UO:0000008	Plant material and sample preparation	CS28017	An-2	Antwerpen, Netherlands	wild type
Arabidopsis seeds from Noordwijk, Netherlands	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Kingdom of the Netherlands	GAZ	GAZ:00001549	52.25	degree	UO	UO:0000185	4.45	degree	UO	UO:0000185	7.9	meter	UO	UO:0000008	Plant material and sample preparation	CS1402	Nok-2	Noordwijk, Netherlands	wild type
Arabidopsis seeds from Noordwijk, Netherlands	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Kingdom of the Netherlands	GAZ	GAZ:00001549	52.25	degree	UO	UO:0000185	4.45	degree	UO	UO:0000185	7.9	meter	UO	UO:0000008	Plant material and sample preparation	CS28568	Nok-1	Noordwijk, Netherlands	wild type
Arabidopsis seeds from Netherlands	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Kingdom of the Netherlands	GAZ	GAZ:00001549	52.15	degree	UO	UO:0000185	5.3	degree	UO	UO:0000185	17.8	meter	UO	UO:0000008	Plant material and sample preparation	CS76588	RLD-1	Netherlands	wild type
Arabidopsis seeds from Martuba Cyrenaika, Libya	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Libya	GAZ	GAZ:00000566	32.34	degree	UO	UO:0000185	22.46	degree	UO	UO:0000185	283.1	meter	UO	UO:0000008	Plant material and sample preparation	CS76192	Mt-0	Martuba/Cyrenaika, Libya	wild type
Arabidopsis seeds from Kaunas, Lithuania	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Lithuania	GAZ	GAZ:00002960	54.9	degree	UO	UO:0000185	23.89	degree	UO	UO:0000185	87	meter	UO	UO:0000008	Plant material and sample preparation	CS28395	Kn-0	Kaunas, Lithuania	wild type
Arabidopsis seeds from Vilnius, Lithuania	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Lithuania	GAZ	GAZ:00002960	54.68	degree	UO	UO:0000185	25.32	degree	UO	UO:0000185	147.9	meter	UO	UO:0000008	Plant material and sample preparation	CS28819	Will	Vilnius, Lithuania	wild type
Arabidopsis seeds from de Gran Canaria, Morocco	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Morocco	GAZ	GAZ:00000565	29.21	degree	UO	UO:0000185	-13.48	degree	UO	UO:0000185	1260	meter	UO	UO:0000008	Plant material and sample preparation	CS76109	Can-0	de Gran Canaria, Morocco	wild type
Arabidopsis seeds from Lipowiec Chrzanow, Poland	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Poland	GAZ	GAZ:00002939	50	degree	UO	UO:0000185	19.3	degree	UO	UO:0000185	240.1	meter	UO	UO:0000008	Plant material and sample preparation	CS76168	Lip-0	Lipowiec/Chrzanow, Poland	wild type
